time,method,mass,conservation_error,l2_vs_cn,linf_vs_cn,min_c,max_c,tv,tv_ratio,overshoot_rel,negative_depth_rel,extrema_count
0.0,CN,0.25066267990416874,0.0,0.0,0.0,3.7266531720786777e-06,1.0,1.9999923558199433,1.0,0.0,0.0,1
0.1,CN,0.25066262010828544,2.3855120085394075e-07,0.0,0.0,6.338075635497871e-05,0.9121672883858252,1.82420788601238,0.9121074291628998,0.0,0.0,2
0.2,CN,0.25066243874964156,9.620679363715447e-07,0.0,0.0,0.0002446684160625945,0.8443661576377992,1.688242362068666,0.844124407353813,0.0,0.0,1
0.30000000000000004,CN,0.2506626837262377,1.5247857960267845e-08,0.0,0.0,0.0006721480976775426,0.7898325841944384,1.5783198374359175,0.7891629349697432,0.0,0.0,2
0.4,CN,0.2506626837262301,1.524782762057898e-08,0.0,0.0,0.0014690150264265664,0.7447150815638777,1.486489370178372,0.7432475258481431,0.0,0.0,2
0.5,CN,0.2506626837262223,1.5247796616517364e-08,0.0,0.0,0.0027535970991690376,0.7065512317088707,1.4075907466440825,0.703798063301601,0.0,0.0,2
0.6000000000000001,CN,0.25066268372621453,1.524776561245575e-08,0.0,0.0,0.004601149651618971,0.6737271479359197,1.3382443040110688,0.6691247094604141,0.0,0.0,2
0.7000000000000001,CN,0.25066268372620804,1.524773970191854e-08,0.0,0.0,0.007051281863373155,0.6450883475285977,1.27606329411948,0.6380340856834567,0.0,0.0,2
0.8,CN,0.2506626837262009,1.5247711133890338e-08,0.0,0.0,0.010099495581683144,0.6198237673522736,1.2194333671264959,0.6097190139642114,0.0,0.0,2
0.9,CN,0.2506626837261939,1.5247683230234884e-08,0.0,0.0,0.013715917213874626,0.5973085936526222,1.1671661349559956,0.583585297993546,0.0,0.0,2
1.0,CN,0.25066268372618666,1.52476544407491e-08,0.0,0.0,0.01784573091385096,0.5770859514468601,1.118456301129953,0.5592302879934838,0.0,0.0,2
1.1,CN,0.2506626837261789,1.5247623436687483e-08,0.0,0.0,0.022426497922430726,0.5587834258140897,1.0726853740195361,0.536344736967639,0.0,0.0,2
1.2000000000000002,CN,0.25066268372617106,1.5247592211168286e-08,0.0,0.0,0.027386733351070797,0.5421223638196188,1.0294378207036021,0.514720877661335,0.0,0.0,2
