method,final_l2_vs_cn,max_l2_vs_cn,final_conservation_error,max_conservation_error,min_c,max_tv_ratio,max_overshoot_rel,max_negative_depth_rel,first_mass_error_time,first_tv_growth_time,first_negative_time,first_overshoot_time,first_l2_error_time,unstable_time,unstable_trigger
CN,0.0,0.0,1.5253310024502874e-08,2.2061128757363793e-06,3.7266531720786777e-06,1.0,0.0,0.0,,,,,,,
PINN Vanilla,0.0007650089075105503,0.0018754008905500087,0.00011277378762194917,0.0024812850048706522,-0.000788646750152111,1.0001676866096387,8.356571197509766e-05,0.000788646750152111,,,,,,,
PINN Conservative,0.0008880288359408484,0.0026831091857312884,0.0001415940901700132,0.0013345634201910336,-0.0013088583946228027,1.0002582995202054,2.3603439331054688e-05,0.0013088583946228027,,,0.09,,,0.09,negative
