method,final_l2_vs_cn,max_l2_vs_cn,final_conservation_error,max_conservation_error,min_c,max_tv_ratio,max_overshoot_rel,max_negative_depth_rel,first_mass_error_time,first_tv_growth_time,first_negative_time,first_overshoot_time,first_l2_error_time,unstable_time,unstable_trigger
CN,0.0,0.0,1.524741770259291e-08,0.0012288334454157999,3.7266531720786777e-06,1.0,0.0,0.0,,,,,,,
PINN Vanilla,0.0015420340073085052,0.0023299118728154792,0.0028776838234335846,0.006119387033414037,-0.0023968294262886047,1.0002922351818844,0.0,0.0023968294262886047,,,0.06,,,0.06,negative
PINN Conservative,0.000602309929362204,0.0018464905879572386,0.0013836371151843014,0.0013836371151843014,-0.002016022801399231,1.0005049575215512,0.0,0.002016022801399231,,,0.08,,,0.08,negative
