stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,46.7570686340332,0.3296482563018799,1.3723281621932983,0.0689626932144165,0.0
adam,100,2.6191914081573486,0.025164395570755005,0.00537732383236289,0.04897879809141159,0.0
adam,200,0.37642407417297363,0.0018664252711459994,0.0005614985711872578,0.1841665655374527,0.0
adam,300,0.2185523808002472,0.0005834009498357773,0.00014283752534538507,0.1587839126586914,0.0
adam,400,0.1502961814403534,0.00020967381715308875,0.00020762192434631288,0.12725257873535156,0.0
adam,500,0.12055894732475281,0.00011758478649426252,0.00020621783914975822,0.10673829168081284,0.0
adam,600,0.10209523141384125,8.630018419353291e-05,0.0001330750819761306,0.09213446080684662,0.0
adam,700,0.08866152912378311,6.91702080075629e-05,0.00017202274466399103,0.08002427965402603,0.0
adam,800,0.08046215772628784,6.039913205313496e-05,0.0003722401743289083,0.07069984078407288,0.0
adam,900,0.07535108178853989,5.787624104414135e-05,0.0004891566350124776,0.06467188894748688,0.0
adam,1000,0.07106061279773712,5.483675340656191e-05,0.0005112146027386189,0.06046478822827339,0.0
adam,1100,0.06766752153635025,5.7105669839074835e-05,0.0005192485405132174,0.05676446855068207,0.0
adam,1200,0.06303294003009796,4.824457209906541e-05,0.00048016232904046774,0.053406860679388046,0.0
adam,1300,0.058929216116666794,4.419190008775331e-05,0.0004636201192624867,0.049873825162649155,0.0
adam,1400,0.054043956100940704,3.858358468278311e-05,0.00041868642438203096,0.04599873349070549,0.0
adam,1500,0.04879574477672577,3.329835817567073e-05,0.00037382927257567644,0.041727617383003235,0.0
adam,1600,0.042456477880477905,2.7905494789592922e-05,0.00029593956423923373,0.036706533282995224,0.0
adam,1700,0.03442131355404854,2.3531687475042418e-05,0.0001495109754614532,0.030573036521673203,0.0
adam,1800,0.026479380205273628,1.9965307728853077e-05,3.27392372128088e-05,0.024155456572771072,0.0
adam,1900,0.021456921473145485,1.7518415916129015e-05,2.9617289328598417e-05,0.019408907741308212,0.0
adam,2000,0.018336419016122818,1.6536789189558476e-05,3.883853059960529e-05,0.01629435457289219,0.0
adam,2100,0.01590706966817379,1.3756763109995518e-05,4.048092887387611e-05,0.014126583933830261,0.0
adam,2200,0.014050109311938286,1.2161598533566575e-05,3.5630589991342276e-05,0.01247764378786087,0.0
adam,2300,0.01265149749815464,1.120635170082096e-05,3.0275907192844898e-05,0.011228103190660477,0.0
adam,2400,0.011537103913724422,9.846949069469701e-06,2.843749462044798e-05,0.010268034413456917,0.0
adam,2500,0.010630934499204159,8.881848771125078e-06,2.6928804800263606e-05,0.009473461657762527,0.0
adam,2600,0.00998888909816742,8.841194357955828e-06,3.0619907192885876e-05,0.00879857037216425,0.0
adam,2700,0.009292532689869404,7.576779353257734e-06,2.5579993234714493e-05,0.008279054425656796,0.0
adam,2800,0.008774252608418465,7.032577286736341e-06,2.5431289031985216e-05,0.007816681638360023,0.0
adam,2900,0.008844884112477303,1.038211030390812e-05,4.202323907520622e-05,0.007386440876871347,0.0
adam,3000,0.007953318767249584,6.2764120229985565e-06,2.5975703465519473e-05,0.007065920624881983,0.0
adam,3100,0.00761165376752615,5.921270258113509e-06,2.6199209969490767e-05,0.006757534574717283,0.0
adam,3200,0.04176397994160652,0.00026020416407845914,0.0009156088926829398,0.006587470881640911,0.0
adam,3300,0.007029356434941292,5.430526471172925e-06,2.6953006454277784e-05,0.006216773763298988,0.0
adam,3400,0.006765882018953562,5.125842562847538e-06,2.690948167582974e-05,0.005984202958643436,0.0
adam,3500,0.006518037058413029,4.865838491241448e-06,2.6806239475263283e-05,0.005763390567153692,0.0
adam,3600,0.02967076003551483,0.00018133799312636256,0.0006053392426110804,0.005483570042997599,0.0
adam,3700,0.006074785720556974,4.445624199433951e-06,2.6676258130464703e-05,0.0053634606301784515,0.0
adam,3800,0.005864693783223629,4.206722223898396e-06,2.6347854145569727e-05,0.0051805428229272366,0.0
adam,3900,0.022753050550818443,0.0001338915026281029,0.00044158700620755553,0.004948029760271311,0.0
adam,4000,0.005498969927430153,3.869562533509452e-06,2.5948091206373647e-05,0.004852532874792814,0.0
