stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,46.812965393066406,0.3296482563018799,1.3196790218353271,0.0020466705318540335,0.06493017822504044
adam,100,2.629713296890259,0.025457780808210373,0.005786657799035311,0.024794721975922585,0.00012739436351694167
adam,200,0.30574649572372437,0.0016838229494169354,0.0016988659044727683,0.11931885778903961,0.00010566621494945139
adam,300,0.1476462334394455,0.00047455827007070184,0.0004044078232254833,0.09601511061191559,1.3122516065777745e-05
adam,400,0.09276572614908218,0.00016542768571525812,0.00029754327260889113,0.07311989367008209,1.2763768609147519e-05
adam,500,0.0722259134054184,9.479623986408114e-05,0.00022887083468958735,0.06034238636493683,1.1519616236910224e-05
adam,600,0.06118650734424591,7.129719597287476e-05,0.00013920555647928268,0.05257539078593254,8.933935532695614e-06
adam,700,0.05414363741874695,5.96041718381457e-05,7.891903806012124e-05,0.04732805863022804,6.596976618311601e-06
adam,800,0.049175526946783066,5.324410813045688e-05,4.497042755247094e-05,0.04335268586874008,4.87281113237259e-06
adam,900,0.04530850425362587,4.940046346746385e-05,2.831737947417423e-05,0.04004791006445885,3.737419319804758e-06
adam,1000,0.042346760630607605,4.888288822257891e-05,2.902854794228915e-05,0.037139520049095154,2.8665290301432833e-06
adam,1100,0.03914910927414894,4.4599288230529055e-05,1.4104021829552948e-05,0.03452238813042641,2.5752553938218625e-06
adam,1200,0.03741423040628433,4.7760477173142135e-05,4.972663373337127e-05,0.03211694210767746,2.397761136307963e-06
adam,1300,0.03413065895438194,4.07152583647985e-05,1.2158443496446125e-05,0.02991340309381485,2.4145401766872965e-06
adam,1400,0.03177500516176224,3.8688343920512125e-05,1.2757491276715882e-05,0.02775273285806179,2.586260279713315e-06
adam,1500,0.02936357818543911,3.6415593058336526e-05,1.3564191249315627e-05,0.025557614862918854,2.8761539851984708e-06
adam,1600,0.02730054222047329,3.734379060915671e-05,2.947364919236861e-05,0.023237841203808784,3.3585886285436573e-06
adam,1700,0.024186519905924797,3.151156488456763e-05,1.531876296212431e-05,0.02084542252123356,3.6753929180122213e-06
adam,1800,0.036722805351018906,0.00011926941806450486,0.0006347874295897782,0.018362700939178467,8.52912307891529e-06
adam,1900,0.018959680572152138,2.6537454687058926e-05,1.5155095752561465e-05,0.016113918274641037,4.046625690534711e-06
adam,2000,0.0166091937571764,2.4068562197498977e-05,1.456878635508474e-05,0.014017595909535885,3.905426638084464e-06
adam,2100,0.01675122044980526,3.624102100729942e-05,8.490253094350919e-05,0.012237215414643288,4.087764864380006e-06
adam,2200,0.012937312014400959,1.9189183149137534e-05,1.4776249372516759e-05,0.010836929082870483,3.3701592201396124e-06
adam,2300,0.011571564711630344,1.6611305909464136e-05,1.5953062757034786e-05,0.009718447923660278,3.245597326895222e-06
adam,2400,0.01044002827256918,1.4030093552719336e-05,1.7661837773630396e-05,0.008827973157167435,3.2427376481791725e-06
adam,2500,0.010569073259830475,1.77549991349224e-05,6.532033148687333e-05,0.008106307126581669,3.406282303330954e-06
adam,2600,0.008749670349061489,9.703150681161787e-06,2.1766800273326226e-05,0.0075287786312401295,3.2907821605476784e-06
adam,2700,0.008084104396402836,7.97610391600756e-06,2.3040760424919426e-05,0.007023662328720093,3.2423738502984634e-06
adam,2800,0.008120160549879074,1.0289124475093558e-05,5.074859654996544e-05,0.006550441030412912,3.3321123282803455e-06
adam,2900,0.007003698963671923,5.711895937565714e-06,2.54035276157083e-05,0.006148188840597868,3.028519813597086e-06
adam,3000,0.006535181310027838,4.9179880079464056e-06,2.5409015506738797e-05,0.005760795436799526,2.8497004223027034e-06
adam,3100,0.06942249089479446,0.00040787685429677367,0.0023060219828039408,0.005349923390895128,2.2465999791165814e-05
adam,3200,0.005697276443243027,4.000572516815737e-06,2.535933344915975e-05,0.005018147639930248,2.5478350380581105e-06
adam,3300,0.0053132981993258,3.64720608558855e-06,2.452484841342084e-05,0.0046805511228740215,2.277798785144114e-06
adam,3400,0.015346484258770943,7.197642844403163e-05,0.00037388017517514527,0.00435652444139123,5.351571417122614e-06
adam,3500,0.004623418673872948,3.324875706312014e-06,2.3203358068712987e-05,0.004039552062749863,1.934526835611905e-06
adam,3600,0.004305723588913679,3.090708560193889e-06,2.202235373260919e-05,0.0037596060428768396,1.682303491179482e-06
adam,3700,0.0040116626769304276,2.961236532428302e-06,2.0885225239908323e-05,0.003491549286991358,1.51375058976555e-06
adam,3800,0.005148432217538357,1.1718604582711123e-05,7.227537571452558e-05,0.003232056275010109,2.176157977373805e-06
adam,3900,0.003510772017762065,2.7836165372718824e-06,2.0232379029039294e-05,0.0030163084156811237,1.3778236507278052e-06
adam,4000,0.003291756846010685,2.699108790693572e-06,1.976945532078389e-05,0.0028107049874961376,1.344648467238585e-06
adam,4100,0.09674178063869476,0.0006242310046218336,0.0031404944602400064,0.0026327967643737793,2.809396210068371e-05
adam,4200,0.002917360980063677,2.5922411168721737e-06,2.0270284949219786e-05,0.0024408542085438967,1.4579886737919878e-06
adam,4300,0.0027516570407897234,2.5291622023360105e-06,1.9987028281320818e-05,0.002284018089994788,1.4852572576273815e-06
adam,4400,0.0026240164879709482,2.6319276003050618e-06,2.0990908524254337e-05,0.0021353396587073803,1.5574922826999682e-06
adam,4500,0.002466366859152913,2.4783557819318958e-06,2.074162330245599e-05,0.0019946631509810686,1.6451908777526114e-06
adam,4600,0.0023335337173193693,2.410933120700065e-06,2.019715975620784e-05,0.001874199602752924,1.626933908482897e-06
adam,4700,0.002209731377661228,2.375091980866273e-06,1.9707164028659463e-05,0.001759164733812213,1.5985643813110073e-06
adam,4800,0.0026104236021637917,5.890951797482558e-06,3.597862087190151e-05,0.001645849784836173,1.5692215811213828e-06
adam,4900,0.001996617065742612,2.311310936420341e-06,2.004820271395147e-05,0.0015488985227420926,1.6105257145682117e-06
adam,5000,0.001895973808132112,2.272024175908882e-06,1.9372089809621684e-05,0.0014600129798054695,1.5037502407722059e-06
adam,5100,0.001801031525246799,2.2435795017372584e-06,1.8742101019597612e-05,0.001375317107886076,1.3935446077084634e-06
adam,5200,0.001756884390488267,2.464172212057747e-06,2.056953053397592e-05,0.0012906291522085667,1.414275857314351e-06
adam,5300,0.0016405042260885239,2.159711584681645e-06,1.8805483705364168e-05,0.001223782543092966,1.269562631023291e-06
adam,5400,0.0015644715167582035,2.1151652163098333e-06,1.816771509766113e-05,0.0011599003337323666,1.137746153290209e-06
adam,5500,0.005861789453774691,3.16522091452498e-05,0.0001571238972246647,0.001098967157304287,2.6362472453911323e-06
adam,5600,0.0014415222685784101,2.0442591903702123e-06,1.851188608270604e-05,0.0010419241152703762,1.0053355481431936e-06
adam,5700,0.0013813547557219863,1.9757678728637984e-06,1.7842492525232956e-05,0.0009964356431737542,8.917415357245773e-07
adam,5800,0.0013267605099827051,1.9256640371168032e-06,1.729606265143957e-05,0.0009532711701467633,7.962377139847376e-07
adam,5900,0.04554608091711998,0.00030416270601563156,0.0014071015175431967,0.0009202468791045249,1.3854900316800922e-05
adam,6000,0.0012403696309775114,1.8369239569437923e-06,1.7586911781108938e-05,0.0008736770250834525,7.131112056413258e-07
adam,6100,0.0011966910678893328,1.7777538232621737e-06,1.6953263184404932e-05,0.0008428119472227991,6.571185053871886e-07
adam,6200,0.0011558375554159284,1.7277667438975186e-06,1.64111188496463e-05,0.0008127752807922661,6.17445323314314e-07
adam,6300,0.0016504442319273949,5.4946781347098295e-06,3.0904477171134204e-05,0.0007799771265126765,1.1954457477258984e-06
adam,6400,0.0010966233676299453,1.6471727803946123e-06,1.676114698057063e-05,0.0007583327824249864,5.961879878668697e-07
adam,6500,0.001062714378349483,1.5975798532963381e-06,1.6121744920383207e-05,0.0007359494338743389,5.789495389763033e-07
adam,6600,0.0010297383414581418,1.5540327922280994e-06,1.5519559383392334e-05,0.0007135050254873931,5.63442597467656e-07
adam,6700,0.0010241384152323008,1.5967814306350192e-06,1.6901207345654257e-05,0.0006894191610626876,6.029063683854474e-07
adam,6800,0.0009765019058249891,1.4521440334647195e-06,1.5477073247893713e-05,0.0006709707085974514,5.546083912122413e-07
adam,6900,0.0009460509172640741,1.4118278386376915e-06,1.4802841178607196e-05,0.000651442096568644,5.397672566687106e-07
adam,7000,0.006808087229728699,4.387340959510766e-05,0.0001746745256241411,0.0006428416818380356,3.1159445370576577e-06
adam,7100,0.0009120780741795897,1.366467017760442e-06,1.5762441762490198e-05,0.0006125131621956825,5.293753133628343e-07
adam,7200,0.0008821115479804575,1.3082693612886942e-06,1.4869201550027356e-05,0.0005974352825433016,5.157303917258105e-07
adam,7300,0.0008546580211259425,1.2692630662058946e-06,1.4129098417470232e-05,0.0005814522737637162,4.988464183952601e-07
adam,7400,0.0008619168656878173,1.5390597809528117e-06,1.3613355804409366e-05,0.0005651445244438946,6.732805672982067e-07
adam,7500,0.0008197365677915514,1.304844317928655e-06,1.3341730664251372e-05,0.0005511151975952089,4.7196334662658046e-07
adam,7600,0.0007955179898999631,1.2093189525330672e-06,1.3500584827852435e-05,0.0005349493585526943,4.630866783372767e-07
adam,7700,0.011742789298295975,7.675058441236615e-05,0.0003505823260638863,0.0005211752722971141,4.073220679856604e-06
adam,7800,0.0007444063085131347,1.0769065283966484e-06,1.2743949810101185e-05,0.0005050008767284453,4.2752944295898487e-07
adam,7900,0.0007186149014160037,1.0303530189048615e-06,1.1983201147813816e-05,0.0004916581092402339,4.0894727248996787e-07
adam,8000,0.000962540740147233,2.8250806280993856e-06,1.996340142795816e-05,0.00047709039063192904,3.3082636718972935e-07
adam,8100,0.0006864165188744664,9.589690534994588e-07,1.197367237182334e-05,0.00046694764751009643,3.835225470538717e-07
adam,8200,0.0006640967330895364,9.309371762356022e-07,1.1257251571805682e-05,0.00045474956277757883,3.6809177572649787e-07
adam,8300,0.00179007975384593,1.1612452908593696e-05,1.3139115253579803e-05,0.0004457744362298399,5.166892606212059e-06
adam,8400,0.000641342019662261,8.648346465633949e-07,1.2051505109411664e-05,0.00043076343717984855,3.5800803743768483e-07
adam,8500,0.0006193455774337053,8.325466183123353e-07,1.1194334547326434e-05,0.0004207296296954155,3.4179268482148473e-07
adam,8600,0.000598620274104178,8.066058967415302e-07,1.0453939466970041e-05,0.0004101387457922101,3.2815196959745663e-07
adam,8700,0.0005784548120573163,7.807412885085796e-07,9.78831849351991e-06,0.0003993180289398879,3.179474674652738e-07
adam,8800,0.0006020153523422778,9.860194722932647e-07,1.0820160241564736e-05,0.0003912827523890883,3.9290884501497203e-07
adam,8900,0.0005535594536922872,7.239673323056195e-07,9.666392543294933e-06,0.00038145703729242086,3.041782861146203e-07
adam,9000,0.0005355813191272318,7.036095439616474e-07,9.070020496437792e-06,0.0003715146449394524,3.0055591082600586e-07
