stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,46.8461799621582,0.3296482563018799,1.322845697402954,0.003593043889850378,0.06493017822504044
adam,100,2.6151914596557617,0.02541152760386467,0.005750489421188831,0.015206700190901756,0.00013269553892314434
adam,200,0.30545973777770996,0.0017117554089054465,0.001851614797487855,0.11437245458364487,0.00013955894974060357
adam,300,0.15543274581432343,0.0005031423643231392,0.0005059374962002039,0.09984130412340164,2.178310569433961e-05
adam,400,0.10267532616853714,0.00018069820362143219,0.00035678601125255227,0.08087842911481857,1.5921903468552046e-05
adam,500,0.08306078612804413,0.00010376486898167059,0.00026693259133026004,0.06987448036670685,1.4049675883143209e-05
adam,600,0.07234541326761246,7.77973109507002e-05,0.00015291203453671187,0.06292315572500229,1.1340233868395444e-05
adam,700,0.06542398780584335,6.486117490567267e-05,7.656883826712146e-05,0.05807929486036301,9.28873851080425e-06
adam,800,0.06058682128787041,5.772714575869031e-05,4.06446706620045e-05,0.054324980825185776,8.267988050647546e-06
adam,900,0.05677240714430809,5.3722407756140456e-05,1.9255445295129903e-05,0.05112157016992569,8.604151844338048e-06
adam,1000,0.05362841859459877,5.223052721703425e-05,1.6010428225854412e-05,0.048142123967409134,1.0313821803720202e-05
adam,1100,0.050565361976623535,4.85421551275067e-05,1.2877781955467071e-05,0.04545655474066734,1.2581359442265239e-05
adam,1200,0.04798812419176102,4.7101326345000416e-05,2.114805465680547e-05,0.04290901497006416,1.57496178871952e-05
adam,1300,0.04537732154130936,4.460697891772725e-05,1.9548502677935176e-05,0.040525875985622406,1.9525925381458364e-05
adam,1400,0.04306236654520035,4.2754621972562745e-05,2.520959242247045e-05,0.03830618038773537,2.2862921468913555e-05
adam,1500,0.040821243077516556,4.062012521899305e-05,3.1042389309732243e-05,0.03619915619492531,2.4965207558125257e-05
adam,1600,0.03885001689195633,3.964472853112966e-05,4.674610318033956e-05,0.034166526049375534,2.5155906769214198e-05
adam,1700,0.036499690264463425,3.6154757253825665e-05,4.470259591471404e-05,0.032196126878261566,2.4105815100483596e-05
adam,1800,0.03956874459981918,6.590995326405391e-05,0.00025359171559102833,0.030180586501955986,2.6124604119104333e-05
adam,1900,0.03232754394412041,3.125441799056716e-05,5.7413879403611645e-05,0.028454577550292015,1.733866702124942e-05
adam,2000,0.030326444655656815,2.861815482901875e-05,6.021915760356933e-05,0.026722654700279236,1.3978183233120944e-05
adam,2100,0.028628701344132423,2.723476427490823e-05,7.233454380184412e-05,0.025063268840312958,1.1861179700645152e-05
adam,2200,0.026672763749957085,2.315494930371642e-05,6.107800436438993e-05,0.023631740361452103,1.1474852726678364e-05
adam,2300,0.024985607713460922,2.0217155906721018e-05,5.769542622147128e-05,0.022263983264565468,1.229555800819071e-05
adam,2400,0.026405127719044685,3.602498327381909e-05,0.00017104213475249708,0.020954564213752747,1.3764409231953323e-05
adam,2500,0.02199631556868553,1.4743559404450934e-05,5.0247166655026376e-05,0.019872838631272316,1.4665017260995228e-05
adam,2600,0.02064390666782856,1.217900626215851e-05,4.506416371441446e-05,0.01882402040064335,1.5134367458813358e-05
adam,2700,0.021958690136671066,2.5691711925901473e-05,0.00014157258556224406,0.01781865954399109,1.5513367543462664e-05
adam,2800,0.018297862261533737,8.442078069492709e-06,3.749501775018871e-05,0.016931643709540367,1.4705982721352484e-05
adam,2900,0.017223233357071877,6.9834118221479e-06,3.23314598063007e-05,0.016065996140241623,1.3558179489336908e-05
adam,3000,0.016169343143701553,5.8735331549542025e-06,2.731738641159609e-05,0.015188077464699745,1.207390505442163e-05
adam,3100,0.015273097902536392,5.7221441238652915e-06,2.728427898546215e-05,0.014321263879537582,1.0677748832677025e-05
adam,3200,0.014226237311959267,4.556867679639254e-06,1.847545354394242e-05,0.01350296288728714,8.28324664325919e-06
adam,3300,0.013279732316732407,4.046813046443276e-06,1.3500008208211511e-05,0.012679851613938808,6.019845386617817e-06
adam,3400,0.01259891502559185,5.023293397243833e-06,1.5120745956664905e-05,0.011898026801645756,4.735107722808607e-06
adam,3500,0.011661538854241371,3.440967475398793e-06,8.25391907710582e-06,0.011207767762243748,2.71346652880311e-06
adam,3600,0.010987000539898872,3.0864291602483718e-06,9.186242095893249e-06,0.01056879572570324,1.7700037915346911e-06
adam,3700,0.02496287040412426,9.835889795795083e-05,0.0005068413447588682,0.009993226267397404,6.533955456689e-06
adam,3800,0.009876967407763004,2.5952404030249454e-06,1.112700192607008e-05,0.009493926540017128,1.2246830465301173e-06
adam,3900,0.00938455481082201,2.3183413304650458e-06,1.129454449255718e-05,0.009027955122292042,1.1820291092590196e-06
adam,4000,0.08850465714931488,0.0005315294838510454,0.0026573410723358393,0.00854790024459362,2.303944893355947e-05
adam,4100,0.008504082448780537,2.059917505903286e-06,1.0410178219899535e-05,0.008178720250725746,1.526899268355919e-06
adam,4200,0.008096393197774887,1.8501690419725492e-06,9.819599654292688e-06,0.00779689708724618,1.6282961041724775e-06
adam,4300,0.0077071660198271275,1.6919353811317706e-06,9.361083357362077e-06,0.007426155731081963,1.8206000049758586e-06
adam,4400,0.007727479096502066,4.281041583453771e-06,1.931133374455385e-05,0.007075445260852575,3.0815961054031504e-06
adam,4500,0.007032578811049461,1.5223210994008696e-06,8.619391337560955e-06,0.0067673628218472,2.6789819003170123e-06
adam,4600,0.0067269825376570225,1.375593569719058e-06,8.805482138996013e-06,0.006471973843872547,2.9394254852377344e-06
adam,4700,0.006613666191697121,2.414625669189263e-06,1.465192690375261e-05,0.006191605236381292,3.4078948374371976e-06
adam,4800,0.006221429444849491,1.3170973716114531e-06,9.432795195607468e-06,0.00595244113355875,4.295081453165039e-06
adam,4900,0.005976561922580004,1.1085628557339078e-06,9.286903150496073e-06,0.005729421973228455,4.3414624997240026e-06
adam,5000,0.0057523190043866634,9.904642865876667e-07,9.340423275716603e-06,0.005512846168130636,4.702187652583234e-06
adam,5100,0.00553663307800889,8.929820296543767e-07,9.248192327504512e-06,0.0053029549308121204,5.18979823027621e-06
adam,5200,0.005378087516874075,9.633029094402445e-07,8.996342330647167e-06,0.005128189921379089,6.360386578307953e-06
adam,5300,0.00518731540068984,8.340491035596642e-07,8.488205821777228e-06,0.004957475233823061,6.155347819003509e-06
