stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,33.617530822753906,0.3296482563018799,0.00018170420662499964,0.0015880814753472805,0.06493017822504044
adam,100,1.811288595199585,0.017792729660868645,0.00022883052588440478,0.029186895117163658,5.4048166930442676e-05
adam,200,0.17979757487773895,0.0007644640281796455,9.638732080929913e-06,0.10307564586400986,1.791468821465969e-05
adam,300,0.10426419973373413,0.00024305275292135775,1.2228785635670647e-05,0.07966107130050659,1.7556905731908046e-05
adam,400,0.07389957457780838,9.859346027951688e-05,1.1288068890280556e-05,0.06380456686019897,1.2277586392883677e-05
adam,500,0.06141102313995361,6.797591777285561e-05,9.541719919070601e-06,0.05441657453775406,1.0144000953005161e-05
adam,600,0.0553947389125824,6.267945718718693e-05,8.503320714225993e-06,0.04895523935556412,8.651801181258634e-06
adam,700,0.05184023827314377,6.11934156040661e-05,7.987982826307416e-06,0.04556994512677193,7.107259989425074e-06
adam,800,0.04913867637515068,5.933507054578513e-05,7.726179319433868e-06,0.04307090491056442,5.700445854017744e-06
adam,900,0.04670088365674019,5.687578959623352e-05,7.641338015673682e-06,0.04089105874300003,4.583137979352614e-06
adam,1000,0.04431948438286781,5.41315384907648e-05,7.709729288762901e-06,0.03879164531826973,3.7587733459076844e-06
adam,1100,0.04190880432724953,5.130118370288983e-05,7.91919774201233e-06,0.03666781261563301,3.168443072354421e-06
adam,1200,0.03943030908703804,4.84684351249598e-05,8.268933015642688e-06,0.034473247826099396,2.7529458748176694e-06
adam,1300,0.03690924495458603,4.588440788211301e-05,8.76680132932961e-06,0.03220774233341217,2.539085699027055e-06
adam,1400,0.03428831323981285,4.289632852305658e-05,9.396941095474176e-06,0.029880767688155174,2.3941843210195657e-06
adam,1500,0.03162240982055664,4.005443406640552e-05,1.0169122106162831e-05,0.027489516884088516,2.5755580281838775e-06
adam,1600,0.028816649690270424,3.698936779983342e-05,1.0993653631885536e-05,0.024975232779979706,3.2544044188398402e-06
adam,1700,0.025891248136758804,3.396991451154463e-05,1.1900014214916155e-05,0.02232937328517437,4.588243427861016e-06
adam,1800,0.022752070799469948,3.0286284527392127e-05,1.2621099813259207e-05,0.019526416435837746,7.081507646944374e-06
adam,1900,0.025639215484261513,8.723906648810953e-05,1.318879731115885e-05,0.016681332141160965,1.0209050742560066e-05
adam,2000,0.016756467521190643,2.335467615921516e-05,1.2982692169316579e-05,0.014160159043967724,1.3101510376145598e-05
adam,2100,0.01424333080649376,1.990638156712521e-05,1.2195754607091658e-05,0.01198950968682766,1.4122540051175747e-05
adam,2200,0.012465416453778744,1.9216848158976063e-05,1.1154672392876819e-05,0.010307869873940945,1.243148471985478e-05
adam,2300,0.010650057345628738,1.3694242625206243e-05,1.0051281606138218e-05,0.009080693125724792,9.942706128640566e-06
adam,2400,0.009431000798940659,1.1009846275555901e-05,9.204386515193619e-06,0.008168298751115799,6.967296030779835e-06
adam,2500,0.008550024591386318,9.455216058995575e-06,8.82740096130874e-06,0.007465231232345104,5.099700047139777e-06
adam,2600,0.007786433212459087,7.409437330352375e-06,8.546147000743076e-06,0.006924348883330822,3.567896101230872e-06
adam,2700,0.0071729072369635105,6.14849977864651e-06,8.328036528837401e-06,0.006447817664593458,2.695929424589849e-06
adam,2800,0.007124426309019327,1.00866172942915e-05,8.206893653550651e-06,0.006011775694787502,2.1919952359894523e-06
adam,2900,0.006199908908456564,4.786717454408063e-06,8.283099305117503e-06,0.005619380157440901,1.9026086874873727e-06
adam,3000,0.005779508501291275,4.1445532588113565e-06,8.156403055181727e-06,0.005267649423331022,1.583996322551684e-06
adam,3100,0.005387374199926853,3.696864496305352e-06,8.051540135056712e-06,0.004923594184219837,1.3578264770330861e-06
adam,3200,0.0050105145201087,3.3375442853866844e-06,7.984544936334714e-06,0.0045851245522499084,1.1790078815465677e-06
adam,3300,0.004705215338617563,3.4983806926902616e-06,8.208709914470091e-06,0.004261304158717394,1.1985920309598441e-06
adam,3400,0.00433401670306921,2.8530287181638414e-06,8.214442459575366e-06,0.00395566038787365,1.0909204775089165e-06
adam,3500,0.004001706372946501,2.6066986720252316e-06,8.27566964289872e-06,0.0036479956470429897,1.028406927616743e-06
adam,3600,0.014119490049779415,0.00010597772052278742,8.66815298650181e-06,0.0033476126845926046,8.74228044267511e-06
adam,3700,0.003420692402869463,2.305823500137194e-06,8.864172741596121e-06,0.003090012352913618,1.1455996400400181e-06
adam,3800,0.0031598536297678947,2.1019961877755122e-06,9.034478352987207e-06,0.002848787931725383,1.052130187417788e-06
adam,3900,0.002920785453170538,1.94429162547749e-06,9.276873242924921e-06,0.0026240856386721134,9.501769682174199e-07
adam,4000,0.021179307252168655,0.00018517918942961842,9.87651219475083e-06,0.002420914126560092,1.41709424497094e-05
adam,4100,0.0025308835320174694,1.7430679690733086e-06,1.0146702152269427e-05,0.002246556105092168,8.553681141165725e-07
adam,4200,0.0023587923496961594,1.6169960872502998e-06,1.0447773092892021e-05,0.002085814718157053,6.800268579354452e-07
adam,4300,0.0022018486633896828,1.5148784768825863e-06,1.079492358257994e-05,0.0019370578229427338,5.353603000912699e-07
adam,4400,0.002189728431403637,2.587641347417957e-06,1.1484838069009129e-05,0.0018084844341501594,7.631400080754247e-07
adam,4500,0.001954039791598916,1.3696196674573002e-06,1.1734544386854395e-05,0.0016954803140833974,4.251994596415898e-07
adam,4600,0.0018410084303468466,1.2851589872298064e-06,1.2070259799656924e-05,0.0015883450396358967,3.444990852585761e-07
adam,4700,0.03167622163891792,0.0002987188345286995,1.3069211490801536e-05,0.0015053749084472656,1.6827156287035905e-05
adam,4800,0.0016651998739689589,1.1926757679248112e-06,1.3039098121225834e-05,0.0014119981788098812,3.5431540368335845e-07
adam,4900,0.0015805030707269907,1.1001469601978897e-06,1.3289638445712626e-05,0.0013343625469133258,3.2294198604176927e-07
adam,5000,0.0015029304195195436,1.0337545290894923e-06,1.3538999155571219e-05,0.00126101344358176,3.15156313490661e-07
adam,5100,0.0014321909984573722,9.903437785396818e-07,1.3771747035207227e-05,0.0011920802062377334,3.358987328283547e-07
adam,5200,0.001384172705002129,1.0245136081721284e-06,1.43494116855436e-05,0.0011343371588736773,3.8900230947547243e-07
adam,5300,0.001316005364060402,8.848694506013999e-07,1.4476208889391273e-05,0.0010791559470817447,3.600362674660573e-07
adam,5400,0.0012588781537488103,8.258745651801291e-07,1.4605618162022438e-05,0.0010265709133818746,3.6635415767705126e-07
adam,5500,0.0055953096598386765,4.400947000249289e-05,1.5553023331449367e-05,0.000978034338913858,6.079761988075916e-06
adam,5600,0.0011658198200166225,7.494972464883176e-07,1.5019128113635816e-05,0.0009367784368805587,3.900419471847272e-07
adam,5700,0.0011203319299966097,6.971814627831918e-07,1.5078563592396677e-05,0.0008959575206972659,3.870587477194931e-07
adam,5800,0.0010769959772005677,6.49119385798258e-07,1.5137460650294088e-05,0.0008568685152567923,3.8409359603974735e-07
adam,5900,0.002747655613347888,1.680334025877528e-05,1.667186188569758e-05,0.0008200642187148333,8.053875717450865e-06
