stage,iter,total,L_ic,L_bc,L_pde,L_mass
adam,1,37.240753173828125,0.3719443678855896,0.003470798023045063,0.011613796465098858,0.0
adam,100,0.1456286609172821,0.00040500410250388086,0.00039844613638706505,0.10114379227161407,0.0
adam,200,0.09408625960350037,0.00014846435806248337,3.204781387466937e-05,0.07891934365034103,0.0
adam,300,0.07887359708547592,6.86301791574806e-05,1.38530422191252e-05,0.0718720480799675,0.0
adam,400,0.0695173367857933,5.11376783833839e-05,1.2314906598476227e-05,0.0642804205417633,0.0
adam,500,0.062881700694561,4.6673791075591e-05,1.0993762771249749e-05,0.05810438096523285,0.0
adam,600,0.07026635110378265,0.00011139222624478862,0.0005256493459455669,0.053870633244514465,0.0
adam,700,0.055314064025878906,4.416714727994986e-05,9.20535694604041e-06,0.05080529674887657,0.0
adam,800,0.05270720645785332,4.343295222497545e-05,8.644821718917228e-06,0.048277463763952255,0.0
adam,900,0.05045197531580925,4.2769981519086286e-05,9.489848707744386e-06,0.046080078929662704,0.0
adam,1000,0.048193007707595825,4.185713260085322e-05,7.83463201514678e-06,0.04392894729971886,0.0
adam,1100,0.04623248055577278,4.217731111566536e-05,1.468237314838916e-05,0.041867926716804504,0.0
adam,1200,0.043842680752277374,3.9674992876825854e-05,7.68509016779717e-06,0.03979833051562309,0.0
adam,1300,0.04294765740633011,4.729960346594453e-05,6.985309300944209e-05,0.03751916438341141,0.0
adam,1400,0.03890053927898407,3.6514389648800716e-05,8.05212948762346e-06,0.03516858071088791,0.0
adam,1500,0.03579923138022423,3.4453780244803056e-05,8.340546628460288e-06,0.03227044641971588,0.0
adam,1600,0.03207094967365265,3.209645365132019e-05,1.15095490400563e-05,0.028746208176016808,0.0
adam,1700,0.02775818109512329,2.8509204639703967e-05,1.0381509127910249e-05,0.024803444743156433,0.0
adam,1800,0.023101136088371277,2.4791394025669433e-05,1.0795674825203605e-05,0.02051403932273388,0.0
adam,1900,0.01870323158800602,2.079046862490941e-05,1.1420626833569258e-05,0.016509978100657463,0.0
adam,2000,0.015250612050294876,1.732042437652126e-05,1.1265700777585153e-05,0.013405912555754185,0.0
adam,2100,0.01259626355022192,1.4228368854674045e-05,1.1248572263866663e-05,0.011060941033065319,0.0
adam,2200,0.010567222721874714,1.1926793376915157e-05,1.0962653504975606e-05,0.009264917112886906,0.0
adam,2300,0.013883084990084171,4.232118226354942e-05,0.00017791685240808874,0.007871798239648342,0.0
adam,2400,0.007806319277733564,9.004257663036697e-06,9.366041012981441e-06,0.0068122330121695995,0.0
adam,2500,0.006845149211585522,7.914629350125324e-06,9.113033229368739e-06,0.0059625557623803616,0.0
adam,2600,0.006060196552425623,7.026711045909906e-06,8.80294646776747e-06,0.0052694957703351974,0.0
adam,2700,0.005538161378353834,6.939053946553031e-06,9.586623491486534e-06,0.004748389590531588,0.0
adam,2800,0.0049438560381531715,5.811581559100887e-06,8.420887752436101e-06,0.004278488922864199,0.0
adam,2900,0.004495821427553892,5.262034392217174e-06,8.687121408001985e-06,0.0038827466778457165,0.0
adam,3000,0.03938205912709236,0.0002454758796375245,0.0011257835431024432,0.0035766379442065954,0.0
adam,3100,0.003812863491475582,4.51064033768489e-06,8.70818166731624e-06,0.003274717601016164,0.0
adam,3200,0.003521883627399802,4.148467269260436e-06,9.326307917945087e-06,0.0030137738212943077,0.0
adam,3300,0.0032636774703860283,3.84311169909779e-06,9.708402103569824e-06,0.0027822821866720915,0.0
adam,3400,0.0031185750849545,3.877914878103184e-06,9.130712896876503e-06,0.002639476442709565,0.0
adam,3500,0.0028827781789004803,3.4350739497313043e-06,1.0190471584792249e-05,0.002437366172671318,0.0
adam,3600,0.0027060869615525007,3.2177904358832166e-06,1.0719284546212293e-05,0.0022771151270717382,0.0
adam,3700,0.002546868985518813,3.027299044333631e-06,1.1203270332771353e-05,0.002132106339558959,0.0
adam,3800,0.002543303184211254,3.67023403669009e-06,1.3150397535355296e-05,0.0020447757560759783,0.0
adam,3900,0.0023014582693576813,2.748876113400911e-06,1.1980285307799932e-05,0.0019067678367719054,0.0
adam,4000,0.00218371395021677,2.6018619792012032e-06,1.2538220289570745e-05,0.0017981454730033875,0.0
adam,4100,0.009157239459455013,5.2003357268404216e-05,0.00021505533368326724,0.0018063500756397843,0.0
adam,4200,0.0019983239471912384,2.3848153887229273e-06,1.3363671314436942e-05,0.0016262057470157743,0.0
adam,4300,0.00190582568757236,2.2648373487754725e-06,1.39440462589846e-05,0.0015399014810100198,0.0
adam,4400,0.0018211829010397196,2.169119397876784e-06,1.4489019122265745e-05,0.0014593808446079493,0.0
adam,4500,0.0017755983863025904,2.1911289422860136e-06,1.4853701941319741e-05,0.0014079484390094876,0.0
adam,4600,0.0016840167809277773,1.9884573703166097e-06,1.535976116429083e-05,0.0013315733522176743,0.0
adam,4700,0.0016132391756400466,1.8922506797025562e-06,1.585983955010306e-05,0.0012654156889766455,0.0
adam,4800,0.0200632493942976,0.00013376522110775113,0.0005385049735195935,0.0013016778975725174,0.0
adam,4900,0.0015021231956779957,1.7608205098440521e-06,1.6832862456794828e-05,0.001157712540589273,0.0
adam,5000,0.0014415986370295286,1.6672788660798687e-06,1.723717650747858e-05,0.0011024989653378725,0.0
adam,5100,0.0013850554823875427,1.5856621757848188e-06,1.7646523701841943e-05,0.0010500240605324507,0.0
adam,5200,0.0019275305094197392,5.6662179304112215e-06,3.162765642628074e-05,0.0010446321684867144,0.0
adam,5300,0.001295797759667039,1.4708044773215079e-06,1.856918606790714e-05,0.0009630254353396595,0.0
adam,5400,0.0012471890076994896,1.395907702317345e-06,1.8867081962525845e-05,0.0009189273696392775,0.0
adam,5500,0.0012019108980894089,1.3354514294405817e-06,1.921174225572031e-05,0.0008762484067119658,0.0
adam,5600,0.0011932221241295338,1.3915361023464357e-06,2.0483974367380142e-05,0.0008492288179695606,0.0
adam,5700,0.0011392822489142418,1.2588840263560996e-06,2.0108896933379583e-05,0.0008123048464767635,0.0
adam,5800,0.0010990474838763475,1.1914056585737853e-06,2.0227014829288237e-05,0.0007776367710903287,0.0
adam,5900,0.0010602287948131561,1.130357304646168e-06,2.0353287254692987e-05,0.0007436602609232068,0.0
adam,6000,0.0010224331635981798,1.0738219771155855e-06,2.0472843971219845e-05,0.0007103225798346102,0.0
adam,6100,0.0016543384408578277,5.355942448659334e-06,3.074517735512927e-05,0.0008112924406304955,0.0
adam,6200,0.0009808470495045185,1.058047246260685e-06,2.164718898711726e-05,0.0006585704395547509,0.0
adam,6300,0.0009468734497204423,9.959252338376245e-07,2.1458878109115176e-05,0.0006326921284198761,0.0
adam,6400,0.0009147386881522834,9.427251370652812e-07,2.1363988707889803e-05,0.0006068262737244368,0.0
adam,6500,0.0008835932239890099,8.949178322836815e-07,2.129985296051018e-05,0.0005811029113829136,0.0
adam,6600,0.0008532059146091342,8.50916990202677e-07,2.1241708964225836e-05,0.0005556971300393343,0.0
adam,6700,0.004232925362884998,2.5246021323255263e-05,8.645703201182187e-05,0.0008437531068921089,0.0
adam,6800,0.0008350257994607091,9.117705985772773e-07,2.2463409550255165e-05,0.0005192146636545658,0.0
adam,6900,0.0008065818692557514,8.508901032655558e-07,2.2047246602596715e-05,0.0005010204040445387,0.0
adam,7000,0.000781109556555748,8.022764745874156e-07,2.178285467380192e-05,0.0004830533289350569,0.0
adam,7100,0.0007568402215838432,7.609468184455181e-07,2.1587176888715476e-05,0.00046487373765558004,0.0
adam,7200,0.0007333289831876755,7.241641810651345e-07,2.141726145055145e-05,0.00044673995580524206,0.0
adam,7300,0.0007104373071342707,6.905752343300264e-07,2.125116043316666e-05,0.00042886819574050605,0.0
adam,7400,0.0007226984016597271,8.641897579764191e-07,2.2971102225710638e-05,0.0004065683751832694,0.0
