method,final_l2_vs_cn,max_l2_vs_cn,final_conservation_error,max_conservation_error,min_c,max_tv_ratio,max_overshoot_rel,max_negative_depth_rel,first_mass_error_time,first_tv_growth_time,first_negative_time,first_overshoot_time,first_l2_error_time,unstable_time,unstable_trigger
CN,0.0,0.0,0.0015293485607770201,0.0015293485607770201,3.8209460841580225e-06,1.0,0.0,0.0,,,,,,,
PINN Vanilla,0.016940513933592104,0.016940513933592104,0.03972870188382674,0.03972870188382674,-0.002224862575531006,1.0012470281235406,0.0001627056605173825,0.0022248903864870184,2.38,,0.0,,,0.0,negative
PINN Conservative,0.009023975583762807,0.012819813667421237,0.007598244662247791,0.007598244662247791,-0.0015937834978103638,1.0018651532793617,0.00012515426491937513,0.0015938034202286012,,,0.0,,,0.0,negative
