method,final_l2_vs_cn,max_l2_vs_cn,final_conservation_error,max_conservation_error,min_c,max_tv_ratio,max_overshoot_rel,max_negative_depth_rel,first_mass_error_time,first_tv_growth_time,first_negative_time,first_overshoot_time,first_l2_error_time,unstable_time,unstable_trigger
CN,0.0,0.0,0.009631597267052651,0.009631597267052651,3.8209460841580225e-06,2.4143186387609075,3.82862539690766,0.0,,1.84,,1.315,,1.315,overshoot
PINN Vanilla,0.7666063776659734,0.7666063776659734,1.003499982666978,1.004755332282644,-0.02168559841811657,1.000481951836914,0.0,0.021685869489790992,0.025,,0.0,,,0.0,negative
PINN Conservative,0.7484270783322281,0.7566228653666904,0.046728170953665084,0.046728170953665084,-0.018109261989593506,1.0003180522212813,0.0,0.01810948835678317,0.275,,0.01,,,0.01,negative
