method,final_l2_vs_cn,max_l2_vs_cn,final_conservation_error,max_conservation_error,min_c,max_tv_ratio,max_overshoot_rel,max_negative_depth_rel,first_mass_error_time,first_tv_growth_time,first_negative_time,first_overshoot_time,first_l2_error_time,unstable_time,unstable_trigger
CN,0.0,0.0,0.0008026229292897033,0.0008026229292897033,3.8209460841580225e-06,1.0,0.0,0.0,,,,,,,
PINN Vanilla,0.0011791573119819363,0.004110718669111332,0.002215145259764267,0.00942077449782033,-0.00032985489815473557,1.000203575907347,0.0,0.00032985902136673255,,,,,,,
PINN Conservative,0.001266563046142616,0.002640719493756644,0.00171873936104996,0.00171873936104996,-0.00026394426822662354,1.000108143588233,0.0,0.0002639475675505971,,,,,,,
