method,final_l2_vs_cn,max_l2_vs_cn,final_conservation_error,max_conservation_error,min_c,max_tv_ratio,max_overshoot_rel,max_negative_depth_rel,first_mass_error_time,first_tv_growth_time,first_negative_time,first_overshoot_time,first_l2_error_time,unstable_time,unstable_trigger
CN,0.0,0.0,1.5247809903972342e-08,1.182210487157264e-06,3.7266531720786777e-06,1.0,0.0,0.0,,,,,,,
PINN Vanilla,0.0006777773633972542,0.0029723800990126424,0.0016681103627776044,0.004808299642666106,-0.0010879673063755035,1.0004420483038363,7.152557373046875e-05,0.0010879673063755035,,,0.105,,,0.105,negative
PINN Conservative,0.0014424695331345468,0.0020965419957087246,0.0012247578208107511,0.0012247578208107511,-0.0012789219617843628,1.0002036064616469,3.6716461181640625e-05,0.0012789219617843628,,,0.105,,,0.105,negative
