method,final_l2_vs_cn,max_l2_vs_cn,final_conservation_error,max_conservation_error,min_c,max_tv_ratio,max_overshoot_rel,max_negative_depth_rel,first_mass_error_time,first_tv_growth_time,first_negative_time,first_overshoot_time,first_l2_error_time,unstable_time,unstable_trigger
CN,0.0,0.0,0.0009999847689018573,0.0010045780026867676,3.7266531720786777e-06,1.0,0.0,0.0,,,,,,,
PINN Vanilla,0.1287078929312788,0.1287078929312788,0.5132619911758922,0.5132619911758922,-0.001496240496635437,1.001313952105396,6.0558319091796875e-05,0.001496240496635437,0.6000000000000001,,0.0,,,0.0,negative
PINN Conservative,0.0028680566128955897,0.05615689774724025,0.0009271007669753742,0.03512242166946265,-0.0011466443538665771,1.001065891526892,9.989738464355469e-05,0.0011466443538665771,0.2,,0.0,,,0.0,negative
