method,final_l2_vs_cn,max_l2_vs_cn,final_conservation_error,max_conservation_error,min_c,max_tv_ratio,max_overshoot_rel,max_negative_depth_rel,first_mass_error_time,first_tv_growth_time,first_negative_time,first_overshoot_time,first_l2_error_time,unstable_time,unstable_trigger
CN,0.0,0.0,0.0009999847793573126,0.0010859532704104184,3.7266531720786777e-06,1.0,0.0,0.0,,,,,,,
PINN Vanilla,0.03542338359450119,0.09531917701777401,0.1411369445522644,0.23001484640477765,-0.0012985765933990479,1.0008405702072816,0.0,0.0012985765933990479,0.2,,0.0,,,0.0,negative
PINN Conservative,0.0022399449956859475,0.09468132239288478,0.0024598961284089125,0.04492784993475443,-0.0017198920249938965,1.0010905530429264,0.0,0.0017198920249938965,0.1,,0.0,,,0.0,negative
