method,final_l2_vs_cn,max_l2_vs_cn,final_conservation_error,max_conservation_error,min_c,max_tv_ratio,max_overshoot_rel,max_negative_depth_rel,first_mass_error_time,first_tv_growth_time,first_negative_time,first_overshoot_time,first_l2_error_time,unstable_time,unstable_trigger
CN,0.0,0.0,0.0009999847592161884,0.0009999848316974837,3.7266531720786777e-06,1.0,0.0,0.0,,,,,,,
PINN Vanilla,0.03749817161887531,0.04595293486135027,0.14847375713811115,0.18204483729488447,-0.001355201005935669,1.0013654954189686,6.985664367675781e-05,0.001355201005935669,0.2,,0.0,,,0.0,negative
PINN Conservative,0.0007189550433748589,0.03796806044864639,0.0004295023599970156,0.01434385578916958,-0.000704452395439148,1.0003499401491611,0.0,0.000704452395439148,0.30000000000000004,,,,,0.30000000000000004,mass
