time,method,mass,conservation_error,l2_vs_cn,linf_vs_cn,min_c,max_c,tv,tv_ratio,overshoot_rel,negative_depth_rel,extrema_count
0.0,CN,0.25066267990416874,0.0,0.0,0.0,3.7266531720786777e-06,1.0,1.9999923558199433,1.0,0.0,0.0,1
0.1,CN,0.2506626171802869,2.50232231978903e-07,0.0,0.0,6.342446688406267e-05,0.9123057455800256,1.8244841623284254,0.912245567848901,0.0,0.0,2
0.2,CN,0.25066268372623607,1.524785153799794e-08,0.0,0.0,0.0002483951918389077,0.844533118078203,1.6885660211325983,0.8442862375043086,0.0,0.0,2
0.30000000000000004,CN,0.25066268372622413,1.52478039246176e-08,0.0,0.0,0.0006778048765075682,0.7900136273809055,1.5786620751800466,0.789334054495842,0.0,0.0,2
0.4,CN,0.2506626837262133,1.5247760740388923e-08,0.0,0.0,0.0014812432214517226,0.7448874250736163,1.4867901263943344,0.7433979045308852,0.0,0.0,2
0.5,CN,0.2506626837262035,1.524772154239674e-08,0.0,0.0,0.0027702047943472564,0.7067197746411671,1.4078578034559048,0.7039315922178717,0.0,0.0,2
0.6000000000000001,CN,0.25066268372619216,1.5247676365049814e-08,0.0,0.0,0.004623488901246168,0.6738822421813786,1.3384489897674876,0.6692270527297888,0.0,0.0,2
0.7000000000000001,CN,0.25066268372618167,1.524763450956663e-08,0.0,0.0,0.007076804430869282,0.6452366914785619,1.276217982397041,0.6381114301178545,0.0,0.0,2
0.8,CN,0.2506626837261707,1.5247590660965207e-08,0.0,0.0,0.010127775954490983,0.6199595730620542,1.2195223791535486,0.6097635201478443,0.0,0.0,2
0.9,CN,0.2506626837261595,1.524754614799103e-08,0.0,0.0,0.013744338550619475,0.597437902325438,1.1672032744259295,0.5836038677994884,0.0,0.0,2
1.0,CN,0.2506626837261486,1.5247502520847185e-08,0.0,0.0,0.017873877640455213,0.5772045690812991,1.1184320119584534,0.5592181433613161,0.0,0.0,2
1.1,CN,0.2506626837261392,1.5247465094515665e-08,0.0,0.0,0.022452200535882424,0.5588964674812155,1.0726136118230996,0.5363088557322794,0.0,0.0,2
1.2000000000000002,CN,0.25066268372612993,1.5247428111099308e-08,0.0,0.0,0.027410058069643552,0.5422264791261672,1.0293123444511998,0.5146581392953421,0.0,0.0,2
1.3,CN,0.2506626837261202,1.524738935602229e-08,0.0,0.0,0.0326780104401189,0.5269641889733705,0.988208617761675,0.4941061973992075,0.0,0.0,2
1.4000000000000001,CN,0.2506626837261096,1.524734705762394e-08,0.0,0.0,0.0381897002671993,0.5129222847342496,0.9490600379547338,0.4745318326807527,0.0,0.0,2
1.5,CN,0.2506626837261,1.524730874546209e-08,0.0,0.0,0.04388373681957139,0.4999467578801061,0.9116832306603744,0.45584335760453876,0.0,0.0,2
1.6,CN,0.2506626837260907,1.524727154058815e-08,0.0,0.0,0.04970474970544906,0.48790970860051835,0.875932237971778,0.43796779293822313,0.0,0.0,2
1.7000000000000002,CN,0.2506626837260819,1.5247236550290042e-08,0.0,0.0,0.05560376001999336,0.4767039719403616,0.8416921743079192,0.4208476956717407,0.0,0.0,2
1.8,CN,0.2506626837260728,1.524720023124644e-08,0.0,0.0,0.061538126407062375,0.46623904150375284,0.8088661293150982,0.4044346104430408,0.0,0.0,2
1.9000000000000001,CN,0.25066268372606276,1.524716014742392e-08,0.0,0.0,0.06747124626516895,0.45643793329203586,0.7773745835135593,0.38868877736027974,0.0,0.0,2
