method,final_l2_vs_cn,max_l2_vs_cn,final_conservation_error,max_conservation_error,min_c,max_tv_ratio,max_overshoot_rel,max_negative_depth_rel,first_mass_error_time,first_tv_growth_time,first_negative_time,first_overshoot_time,first_l2_error_time,unstable_time,unstable_trigger
CN,0.0,0.0,0.0009999846389738007,0.0009999847708914323,3.7266531720786777e-06,1.0,0.0,0.0,,,,,,,
PINN Vanilla,0.07037109869258631,0.07037109869258631,0.2803082687599604,0.2803082687599604,-0.0007565468549728394,1.0009648314654147,8.71419906616211e-05,0.0007565468549728394,0.2,,,,,0.2,mass
PINN Conservative,0.000948078149304584,0.04373845810080379,0.0021096947629684237,0.012657837328163358,-0.0005150884389877319,1.0002205603225942,0.0,0.0005150884389877319,0.4,,,,,0.4,mass
