method,final_l2_vs_cn,max_l2_vs_cn,final_conservation_error,max_conservation_error,min_c,max_tv_ratio,max_overshoot_rel,max_negative_depth_rel,first_mass_error_time,first_tv_growth_time,first_negative_time,first_overshoot_time,first_l2_error_time,unstable_time,unstable_trigger
CN,0.0,0.0,0.26361467865392285,0.26361467865392285,-2.079595577622211e-06,1.0,0.0,2.07962162479803e-06,1.09,,,,,1.09,mass
PINN Vanilla,0.0011282655870747146,0.001966238109768325,0.26033508777620074,0.26033508777620074,-0.0012181028723716736,1.0005464888382118,0.00012553693795123682,0.0012181181292514362,1.11,,4.945,,,1.11,mass
PINN Conservative,0.06484966149486432,0.06484966149486432,0.02498531598899421,0.02498531598899421,-0.001008063554763794,1.0008212510655605,0.00014616040335158284,0.0010080761808767412,4.5200000000000005,,0.46,,,0.46,negative
