method,final_l2_vs_cn,max_l2_vs_cn,final_conservation_error,max_conservation_error,min_c,max_tv_ratio,max_overshoot_rel,max_negative_depth_rel,first_mass_error_time,first_tv_growth_time,first_negative_time,first_overshoot_time,first_l2_error_time,unstable_time,unstable_trigger
CN,0.0,0.0,0.26796732133819023,0.26796732133819023,-2.0838163759181177e-06,1.0,0.0,2.083842475959925e-06,1.085,,,,,1.085,mass
PINN Vanilla,0.0011570167911658846,0.0020064026321661437,0.2657255721669697,0.2657255721669697,-0.0013959258794784546,1.0006009849299042,0.00018156600580188792,0.0013959433636120066,1.175,,4.91,,,1.175,mass
PINN Conservative,0.06580765380274547,0.06580765380274547,0.025859936172680537,0.025859936172680537,-0.000862807035446167,1.0006668656513407,0.0002184021376441245,0.0008628178422043618,4.5200000000000005,,,,,4.5200000000000005,mass
