method,final_l2_vs_cn,max_l2_vs_cn,final_conservation_error,max_conservation_error,min_c,max_tv_ratio,max_overshoot_rel,max_negative_depth_rel,first_mass_error_time,first_tv_growth_time,first_negative_time,first_overshoot_time,first_l2_error_time,unstable_time,unstable_trigger
CN,0.0,0.0,0.0009999847679737284,0.000999989969320076,3.7266531720786777e-06,1.0,0.0,0.0,,,,,,,
PINN Vanilla,0.02491457411639658,0.041035172254319754,0.09882135298485605,0.16208543737756634,-0.001406550407409668,1.0017842941550081,0.00017344951629638672,0.001406550407409668,0.2,,0.0,,,0.0,negative
PINN Conservative,0.0021319239544399142,0.040342301915164046,0.002520081052675901,0.015082189791367911,-0.0004647970199584961,1.000329622338217,0.0,0.0004647970199584961,0.30000000000000004,,,,,0.30000000000000004,mass
